Generation,Animal count,Bush count,Average energy,Average life span for dead animals,Average number of children per animal
1,90,0,500.0,0.0,0.0
2,97,2,462.9896907216495,0.0,0.14432989690721648
3,108,3,415.02777777777777,0.0,0.3333333333333333
4,120,5,372.625,0.0,0.5
5,127,7,351.1417322834646,0.0,0.5826771653543307
6,131,9,339.4503816793893,0.0,0.6259541984732825
7,136,11,326.00735294117646,0.0,0.6764705882352942
8,140,13,315.7214285714286,0.0,0.7142857142857143
9,144,15,305.9791666666667,0.0,0.75
10,149,17,294.744966442953,0.0,0.7919463087248322
11,155,16,282.56774193548387,0.0,0.8387096774193549
12,157,17,278.04458598726114,0.0,0.8535031847133758
13,159,17,273.685534591195,0.0,0.8679245283018868
14,162,18,267.6975308641975,0.0,0.8888888888888888
15,162,18,266.820987654321,0.0,0.8888888888888888
16,162,19,265.88271604938274,0.0,0.8888888888888888
17,164,17,261.8963414634146,0.0,0.9024390243902439
18,168,18,254.74404761904762,0.0,0.9285714285714286
19,171,18,249.4093567251462,0.0,0.9473684210526315
20,175,19,242.78857142857143,0.0,0.9714285714285714
21,175,20,241.84571428571428,0.0,0.9714285714285714
22,176,19,239.64772727272728,0.0,0.9772727272727273
23,178,20,236.02247191011236,0.0,0.9887640449438202
24,180,19,232.57777777777778,0.0,1.0
25,182,19,229.14285714285714,0.0,1.010989010989011
26,185,20,224.4972972972973,0.0,1.027027027027027
27,187,21,221.16042780748663,0.0,1.0374331550802138
28,187,23,220.16042780748663,0.0,1.0374331550802138
29,187,22,219.32085561497325,0.0,1.0374331550802138
30,187,24,218.32085561497325,0.0,1.0374331550802138
31,187,24,217.42780748663102,0.0,1.0374331550802138
32,187,23,216.58823529411765,0.0,1.0374331550802138
33,187,25,215.58823529411765,0.0,1.0374331550802138
34,187,26,214.64171122994654,0.0,1.0374331550802138
35,188,25,212.66489361702128,0.0,1.0425531914893618
36,188,25,211.7712765957447,0.0,1.0425531914893618
37,189,25,209.76190476190476,0.0,1.0476190476190477
38,190,26,207.7157894736842,0.0,1.0526315789473684
39,191,27,205.68586387434556,0.0,1.057591623036649
40,192,28,203.671875,0.0,1.0625
41,192,28,202.77604166666666,0.0,1.0625
42,192,29,201.828125,0.0,1.0625
43,193,31,199.78756476683938,0.0,1.067357512953368
44,194,29,197.96907216494844,0.0,1.0721649484536082
45,194,31,196.96907216494844,0.0,1.0721649484536082
46,196,32,194.0204081632653,0.0,1.0816326530612246
47,197,30,192.24365482233503,0.0,1.0862944162436547
48,197,30,191.3451776649746,0.0,1.0862944162436547
49,197,28,190.5482233502538,0.0,1.0862944162436547
50,197,29,189.5989847715736,0.0,1.0862944162436547
51,197,30,188.6497461928934,0.0,1.0862944162436547
52,197,31,187.7005076142132,0.0,1.0862944162436547
53,197,31,186.8020304568528,0.0,1.0862944162436547
54,198,32,184.91414141414143,0.0,1.0909090909090908
55,198,32,184.0151515151515,0.0,1.0909090909090908
56,198,33,183.06565656565655,0.0,1.0909090909090908
57,198,34,182.1161616161616,0.0,1.0909090909090908
58,198,34,181.2171717171717,0.0,1.0909090909090908
59,198,34,180.3181818181818,0.0,1.0909090909090908
60,198,33,179.46969696969697,0.0,1.0909090909090908
61,198,31,178.67171717171718,0.0,1.0909090909090908
62,198,31,177.77272727272728,0.0,1.0909090909090908
63,198,31,176.87373737373738,0.0,1.0909090909090908
64,199,29,175.19095477386935,0.0,1.0954773869346734
65,200,29,173.42,0.0,1.1
66,200,28,172.57,0.0,1.1
67,200,26,171.77,0.0,1.1
68,200,24,170.97,0.0,1.1
69,200,25,170.02,0.0,1.1
70,200,24,169.17,0.0,1.1
71,200,22,168.37,0.0,1.1
72,200,24,167.37,0.0,1.1
73,200,23,166.52,0.0,1.1
74,200,21,165.72,0.0,1.1
75,200,22,164.77,0.0,1.1
76,200,21,163.92,0.0,1.1
77,200,21,163.02,0.0,1.1
78,200,21,162.12,0.0,1.1
79,200,23,161.12,0.0,1.1
80,200,24,160.17,0.0,1.1
