Generation,Animal count,Bush count,Average energy,Average life span for dead animals,Average number of children per animal
1,8,0,100.0,0.0,0.0
2,8,2,99.0,0.0,0.0
3,8,4,98.0,0.0,0.0
4,8,6,97.0,0.0,0.0
5,8,8,96.0,0.0,0.0
6,8,10,95.125,0.0,0.0
7,9,12,83.66666666666667,0.0,0.2222222222222222
8,10,14,74.4,0.0,0.4
9,10,16,73.4,0.0,0.4
10,10,18,72.5,0.0,0.4
11,10,20,71.7,0.0,0.4
12,10,22,70.7,0.0,0.4
13,10,24,69.8,0.0,0.4
14,10,25,68.8,0.0,0.4
15,10,25,68.8,0.0,0.4
16,10,26,67.8,0.0,0.4
17,10,26,67.9,0.0,0.4
18,10,27,67.0,0.0,0.4
19,10,28,66.0,0.0,0.4
20,10,29,65.0,0.0,0.4
21,10,29,65.0,0.0,0.4
22,10,30,64.1,0.0,0.4
23,10,30,64.1,0.0,0.4
24,11,31,57.36363636363637,0.0,0.5454545454545454
25,12,32,52.583333333333336,0.0,0.6666666666666666
26,12,33,51.583333333333336,0.0,0.6666666666666666
27,12,34,50.666666666666664,0.0,0.6666666666666666
28,12,34,50.666666666666664,0.0,0.6666666666666666
29,12,35,49.666666666666664,0.0,0.6666666666666666
30,12,34,51.25,0.0,0.6666666666666666
31,12,35,51.083333333333336,0.0,0.6666666666666666
32,12,34,51.75,0.0,0.6666666666666666
33,12,34,51.75,0.0,0.6666666666666666
34,12,35,51.75,0.0,0.6666666666666666
35,12,36,51.583333333333336,0.0,0.6666666666666666
36,12,37,50.666666666666664,0.0,0.6666666666666666
37,12,37,50.5,0.0,0.6666666666666666
38,12,38,50.333333333333336,0.0,0.6666666666666666
39,12,38,50.333333333333336,0.0,0.6666666666666666
40,12,38,50.166666666666664,0.0,0.6666666666666666
41,12,39,50.083333333333336,0.0,0.6666666666666666
42,12,40,49.166666666666664,0.0,0.6666666666666666
43,12,41,48.166666666666664,0.0,0.6666666666666666
44,12,42,47.166666666666664,0.0,0.6666666666666666
45,12,43,46.166666666666664,0.0,0.6666666666666666
46,12,44,46.083333333333336,0.0,0.6666666666666666
47,12,45,45.25,0.0,0.6666666666666666
48,12,46,44.333333333333336,0.0,0.6666666666666666
49,12,47,44.166666666666664,0.0,0.6666666666666666
50,12,48,44.083333333333336,0.0,0.6666666666666666
51,12,49,43.083333333333336,0.0,0.6666666666666666
52,12,49,43.75,0.0,0.6666666666666666
53,12,49,44.5,0.0,0.6666666666666666
54,12,49,45.166666666666664,0.0,0.6666666666666666
55,12,50,45.083333333333336,0.0,0.6666666666666666
56,12,51,44.916666666666664,0.0,0.6666666666666666
57,12,52,44.75,0.0,0.6666666666666666
58,12,53,44.0,0.0,0.6666666666666666
59,12,54,43.0,0.0,0.6666666666666666
60,12,53,44.5,0.0,0.6666666666666666
61,12,54,44.333333333333336,0.0,0.6666666666666666
62,12,54,44.166666666666664,0.0,0.6666666666666666
63,12,54,44.833333333333336,0.0,0.6666666666666666
64,12,55,43.833333333333336,0.0,0.6666666666666666
65,12,55,43.666666666666664,0.0,0.6666666666666666
66,12,56,43.583333333333336,0.0,0.6666666666666666
67,12,56,43.416666666666664,0.0,0.6666666666666666
68,12,56,43.333333333333336,0.0,0.6666666666666666
69,12,57,42.333333333333336,0.0,0.6666666666666666
70,12,57,42.166666666666664,0.0,0.6666666666666666
71,12,55,44.5,0.0,0.6666666666666666
72,12,54,46.0,0.0,0.6666666666666666
73,12,53,47.5,0.0,0.6666666666666666
74,12,53,48.25,0.0,0.6666666666666666
75,12,54,48.083333333333336,0.0,0.6666666666666666
76,12,55,47.916666666666664,0.0,0.6666666666666666
77,12,55,48.666666666666664,0.0,0.6666666666666666
78,12,56,48.583333333333336,0.0,0.6666666666666666
79,12,58,47.583333333333336,0.0,0.6666666666666666
80,12,59,47.416666666666664,0.0,0.6666666666666666
81,12,59,48.083333333333336,0.0,0.6666666666666666
82,12,60,47.916666666666664,0.0,0.6666666666666666
83,12,61,47.833333333333336,0.0,0.6666666666666666
84,12,61,48.583333333333336,0.0,0.6666666666666666
85,12,62,47.666666666666664,0.0,0.6666666666666666
86,12,61,48.5,0.0,0.6666666666666666
87,12,61,48.583333333333336,0.0,0.6666666666666666
88,12,62,47.583333333333336,0.0,0.6666666666666666
89,12,62,47.416666666666664,0.0,0.6666666666666666
90,12,63,46.416666666666664,0.0,0.6666666666666666
91,12,62,47.083333333333336,0.0,0.6666666666666666
92,12,62,47.0,0.0,0.6666666666666666
93,12,63,46.166666666666664,0.0,0.6666666666666666
94,12,63,46.0,0.0,0.6666666666666666
95,12,62,46.833333333333336,0.0,0.6666666666666666
96,12,62,46.75,0.0,0.6666666666666666
97,12,60,48.333333333333336,0.0,0.6666666666666666
98,12,60,48.166666666666664,0.0,0.6666666666666666
99,12,58,50.5,0.0,0.6666666666666666
100,12,58,50.333333333333336,0.0,0.6666666666666666
101,12,57,51.0,0.0,0.6666666666666666
102,12,58,50.916666666666664,0.0,0.6666666666666666
103,12,59,49.916666666666664,0.0,0.6666666666666666
